X_01,X_02,X_05,X_06
70.544,103.32,101.892,74.983
69.524,103.321,101.944,72.943
72.583,103.32,103.153,72.943
71.563,103.32,101.971,77.022
69.524,103.32,101.981,70.904
69.524,103.32,101.899,69.884
71.563,103.32,101.921,73.963
69.524,103.32,101.968,73.963
71.563,103.32,101.996,72.943
71.563,103.32,101.99,77.022
74.623,103.32,101.936,77.022
68.504,103.32,101.882,73.963
71.563,103.32,101.91,76.002
71.563,103.32,101.957,77.022
68.504,103.32,101.902,72.943
72.583,103.321,101.886,73.963
73.603,103.32,103.155,73.963
70.544,103.32,101.926,72.943
73.603,103.32,101.957,77.022
73.603,103.32,101.934,76.002
73.603,103.32,103.149,73.963
72.583,103.32,101.893,73.963
71.563,103.321,101.894,73.963
64.425,103.321,102.013,69.884
71.563,103.32,103.134,71.923
68.504,103.32,102.06,73.963
74.623,103.32,101.943,77.022
72.583,103.32,103.156,72.943
69.524,103.32,101.984,73.963
72.583,103.32,101.946,79.062
65.445,103.32,101.887,73.963
68.504,103.32,101.889,73.963
70.544,103.32,101.894,71.923
66.465,103.32,101.905,70.904
67.485,103.32,101.912,71.923
71.563,103.32,102.003,72.943
69.524,103.32,101.952,71.923
74.623,103.32,103.141,74.983
73.603,103.32,101.909,73.963
74.623,103.32,103.148,74.983
70.544,103.321,101.864,74.983
74.623,103.32,103.157,74.983
70.544,103.32,101.96,71.923
72.583,103.32,103.134,72.943
73.603,103.32,103.101,73.963
72.583,103.321,103.125,72.943
71.563,103.32,101.956,76.002
70.544,103.32,102.007,71.923
69.524,103.321,102.014,71.923
74.623,103.321,101.996,76.002
71.563,103.32,101.961,72.943
69.524,103.32,101.934,73.963
70.544,103.32,101.95,71.923
71.563,103.32,101.917,73.963
68.504,103.321,101.941,72.943
67.485,103.32,101.943,72.943
69.524,103.32,101.898,72.943
72.583,103.32,101.931,76.002
68.504,103.32,102.007,70.904
69.524,103.32,103.143,69.884
65.445,103.32,101.935,70.904
71.563,103.32,101.922,72.943
73.603,103.32,101.994,73.963
68.504,103.32,102.027,72.943
69.524,103.32,102.016,74.983
67.485,103.32,102.001,72.943
71.563,103.321,101.96,72.943
66.465,103.32,101.864,67.845
66.465,103.32,101.904,67.845
69.524,103.32,101.94,71.923
70.544,103.32,101.954,73.963
69.524,103.32,101.883,72.943
69.524,103.32,101.954,74.983
72.583,103.32,101.929,76.002
71.563,103.32,102.004,76.002
69.524,103.321,101.928,73.963
69.524,103.32,101.907,74.983
70.544,103.32,101.869,71.923
73.603,103.32,101.932,74.983
70.544,103.32,101.978,71.923
71.563,103.32,102.025,73.963
70.544,103.32,101.976,73.963
72.583,103.32,102.003,72.943
73.603,103.32,102.019,73.963
69.524,103.32,101.894,69.884
67.485,103.321,102.042,69.884
68.504,103.32,101.966,73.963
71.563,103.32,101.997,71.923
73.603,103.32,103.147,73.963
73.603,103.32,101.9,74.983
73.603,103.32,101.946,73.963
71.563,103.32,101.929,73.963
73.603,103.32,103.156,73.963
75.642,103.32,103.153,76.002
73.603,103.32,101.823,79.062
72.583,103.32,103.137,72.943
68.504,103.32,102.02,69.884
71.563,103.32,103.132,71.923
70.544,103.32,101.903,73.963
70.544,103.32,101.988,74.983
71.563,103.321,101.899,72.943
72.583,103.32,101.911,77.022
73.603,103.32,101.982,73.963
73.603,103.32,103.156,73.963
67.485,103.32,101.91,71.923
69.524,103.32,103.158,69.884
71.563,103.321,103.154,71.923
69.524,103.32,101.858,74.983
70.544,103.32,101.989,71.923
71.563,103.321,102.031,71.923
73.603,103.32,103.157,73.963
72.583,103.32,102.026,72.943
71.563,103.32,103.15,71.923
73.603,103.32,103.137,73.963
76.662,103.32,103.156,77.022
72.583,103.32,103.141,72.943
70.544,103.32,101.94,71.923
73.603,103.32,103.137,73.963
71.563,103.32,101.922,71.923
69.524,103.32,101.894,72.943
66.465,103.32,101.957,72.943
70.544,103.32,101.942,73.963
71.563,103.32,103.139,71.923
74.623,103.32,103.156,74.983
71.563,103.321,102.032,71.923
68.504,103.32,101.94,70.904
69.524,103.32,101.986,71.923
69.524,103.32,101.825,73.963
69.524,103.32,102.052,71.923
69.524,103.32,101.997,76.002
67.485,103.32,101.921,76.002
72.583,103.32,101.915,76.002
71.563,103.321,101.961,73.963
71.563,103.32,101.904,71.923
69.524,103.321,101.961,70.904
69.524,103.32,101.891,71.923
71.563,103.32,101.889,73.963
69.524,103.321,103.148,69.884
75.642,103.32,103.158,76.002
68.504,103.32,103.16,68.864
67.485,103.321,101.986,69.884
68.504,103.32,103.145,68.864
68.504,103.32,101.969,68.864
68.504,103.32,103.145,68.864
67.485,103.32,103.155,67.845
69.524,103.32,101.921,73.963
67.485,103.32,101.934,74.983
68.504,103.32,101.887,71.923
67.485,103.32,101.893,68.864
67.485,103.32,102.023,68.864
67.485,103.32,103.149,67.845
67.485,103.32,103.149,67.845
67.485,103.32,103.14,67.845
67.485,103.32,101.878,72.943
68.504,103.32,103.158,68.864
68.504,103.32,101.945,68.864
69.524,103.32,101.873,69.884
68.504,103.32,103.15,68.864
66.465,103.321,101.965,66.825
68.504,103.321,103.151,68.864
69.524,103.32,101.942,69.884
68.504,103.32,103.152,68.864
69.524,103.32,103.156,69.884
68.504,103.32,103.157,68.864
69.524,103.32,101.893,69.884
71.563,103.32,103.151,71.923
71.563,103.32,103.158,71.923
67.485,103.321,102.002,67.845
70.544,103.32,103.148,70.904
71.563,103.32,103.146,71.923
72.583,103.32,103.155,72.943
70.544,103.32,103.156,70.904
72.583,103.32,103.156,72.943
71.563,103.321,103.151,71.923
74.623,103.32,103.159,74.983
72.583,103.32,103.154,72.943
69.524,103.32,102.003,71.923
77.682,103.32,103.158,78.042
71.563,103.32,103.137,71.923
73.603,103.32,103.151,73.963
74.623,103.32,103.158,74.983
73.603,103.32,103.158,73.963
68.504,103.321,101.981,68.864
67.485,103.32,101.964,71.923
70.544,103.321,103.148,70.904
70.544,103.32,102.04,71.923
70.544,103.32,103.157,70.904
69.524,103.32,101.99,69.884
71.563,103.32,102.01,71.923
70.544,103.321,103.157,70.904
68.504,103.32,102.018,68.864
68.504,103.32,101.927,68.864
73.603,103.32,103.156,73.963
71.563,103.32,103.142,71.923
71.563,103.32,103.154,71.923
70.544,103.32,101.963,70.904
71.563,103.32,103.157,71.923
73.603,103.321,103.148,73.963
68.504,103.32,103.152,68.864
73.603,103.32,103.157,73.963
68.504,103.32,102.003,69.884
69.524,103.321,103.143,69.884
69.524,103.32,103.14,69.884
70.544,103.32,103.155,70.904
69.524,103.32,101.961,70.904
72.583,103.321,103.159,72.943
70.544,103.32,103.153,70.904
72.583,103.321,103.154,72.943
69.524,103.32,101.947,69.884
70.544,103.32,103.158,70.904
70.544,103.32,103.146,70.904
71.563,103.32,103.142,71.923
69.524,103.32,101.901,74.983
71.563,103.32,101.906,73.963
69.524,103.32,103.142,69.884
74.623,103.32,103.138,74.983
65.445,103.32,101.923,69.884
68.504,103.321,101.932,74.983
70.544,103.32,103.148,70.904
73.603,103.32,103.144,73.963
70.544,103.32,101.983,71.923
72.583,103.32,101.891,74.983
71.563,103.32,101.911,76.002
69.524,103.321,102.028,69.884
67.485,103.32,101.887,72.943
69.524,103.321,101.943,69.884
66.465,103.32,101.849,69.884
66.465,103.321,102.032,69.884
67.485,103.32,103.158,67.845
66.465,103.32,101.879,69.884
72.583,103.32,103.16,72.943
70.544,103.32,103.158,70.904
73.603,103.32,103.154,73.963
69.524,103.32,101.939,70.904
71.563,103.32,101.964,71.923
70.544,103.32,103.146,70.904
70.544,103.32,101.992,70.904
66.465,103.32,101.931,74.983
71.563,103.32,101.972,74.983
69.524,103.32,101.973,72.943
72.583,103.32,101.925,74.983
68.504,103.32,101.911,73.963
68.504,103.32,101.895,69.884
70.544,103.32,102.015,70.904
67.485,103.32,103.147,67.845
68.504,103.32,103.138,68.864
67.485,103.32,101.931,70.904
65.445,103.32,102.026,69.884
67.485,103.32,102.004,69.884
67.485,103.321,102.006,68.864
70.544,103.32,101.954,70.904
69.524,103.32,103.156,69.884
71.563,103.32,103.133,71.923
69.524,103.32,103.14,69.884
67.485,103.32,102.095,69.884
69.524,103.32,101.917,69.884
68.504,103.32,101.906,73.963
69.524,103.32,101.995,69.884
71.563,103.32,101.912,71.923
71.563,103.32,103.155,71.923
69.524,103.32,103.15,69.884
73.603,103.321,103.141,73.963
70.544,103.32,103.143,70.904
74.623,103.32,103.152,74.983
67.485,103.32,101.891,70.904
68.504,103.32,101.982,73.963
70.544,103.32,101.922,72.943
64.425,103.32,101.872,73.963
63.406,103.321,101.814,70.904
72.583,103.32,101.923,74.983
68.504,103.321,101.976,72.943
66.465,103.32,101.874,69.884
70.544,103.32,103.152,70.904
71.563,103.32,103.155,71.923
71.563,103.32,103.155,71.923
72.583,103.32,103.158,72.943
71.563,103.32,103.16,71.923
71.563,103.32,103.16,71.923
71.563,103.32,101.925,77.022
66.465,103.32,101.903,74.983
70.544,103.321,101.906,73.963
69.524,103.32,101.883,74.983
70.544,103.32,101.977,72.943
69.524,103.32,101.925,71.923
68.504,103.32,103.134,68.864
68.504,103.321,101.999,68.864
68.504,103.32,101.924,74.983
69.524,103.32,102.005,69.884
68.504,103.32,101.933,69.884
69.524,103.321,101.943,71.923
74.623,103.32,103.157,74.983
67.485,103.32,103.149,67.845
68.504,103.32,103.144,68.864
72.583,103.32,103.153,72.943
73.603,103.32,103.155,73.963
71.563,103.321,101.928,73.963
70.544,103.32,101.99,71.923
71.563,103.32,101.947,74.983
72.583,103.321,102.012,78.042
72.583,103.321,101.953,73.963
69.524,103.32,101.951,70.904
66.465,103.32,101.932,69.884
68.504,103.32,103.155,68.864
72.583,103.32,103.147,72.943
70.544,103.32,103.155,70.904
68.504,103.32,101.981,71.923
68.504,103.32,103.153,68.864
69.524,103.32,103.134,69.884
69.524,103.32,101.907,72.943
68.504,103.321,103.152,68.864
74.623,103.32,103.157,74.983
70.544,103.32,103.155,70.904
69.524,103.32,102.009,73.963
69.524,103.32,101.955,73.963
68.504,103.32,101.95,70.904
71.563,103.32,101.971,74.983
64.425,103.32,101.916,69.884
66.465,103.32,101.837,67.845
71.563,103.32,103.151,71.923
64.425,103.32,101.909,72.943
68.504,103.32,101.929,73.963
66.465,103.321,102.003,67.845
66.465,103.321,101.947,67.845
62.386,103.32,101.883,66.825
66.465,103.321,101.962,68.864
65.445,103.32,101.914,70.904
64.425,103.32,101.993,70.904
64.425,103.32,101.852,71.923
71.563,103.32,103.156,71.923
64.425,103.32,101.958,71.923
66.465,103.32,102.005,71.923
66.465,103.32,101.916,73.963
72.583,103.32,103.153,72.943
70.544,103.32,101.962,73.963
68.504,103.32,101.896,70.904
67.485,103.32,103.156,67.845
68.504,103.32,102.026,71.923
72.583,103.32,103.156,72.943
74.623,103.32,103.155,74.983
67.485,103.32,101.989,67.845
68.504,103.32,103.151,68.864
66.465,103.32,102.005,69.884
67.485,103.32,101.949,68.864
66.465,103.32,102.035,70.904
66.465,103.321,101.846,69.884
68.504,103.32,103.144,68.864
65.445,103.321,101.915,65.805
69.524,103.32,101.992,69.884
70.544,103.32,101.98,73.963
70.544,103.32,103.155,70.904
69.524,103.32,103.14,69.884
71.563,103.32,103.156,71.923
76.662,103.32,103.158,77.022
69.524,103.321,103.151,69.884
69.524,103.321,101.973,69.884
71.563,103.32,103.154,71.923
65.445,103.32,103.143,65.805
67.485,103.32,101.918,74.983
66.465,103.32,101.893,71.923
67.485,103.32,102.005,67.845
71.563,103.32,103.15,71.923
68.504,103.32,102.01,69.884
71.563,103.32,103.149,71.923
69.524,103.32,103.156,69.884
66.465,103.32,102.01,66.825
69.524,103.32,103.146,69.884
66.465,103.32,101.955,69.884
65.445,103.32,103.152,65.805
69.524,103.32,102.089,71.923
68.504,103.32,103.146,68.864
69.524,103.32,101.95,69.884
66.465,103.32,101.979,67.845
65.445,103.32,103.157,65.805
