X_50,X_51,X_52,X_53,X_54,X_55,X_56
137.043591,135.359219,147.837968,134.313475,125.605427,136.721425,125.028256
133.736691,135.979817,149.924692,123.630583,127.893337,143.322659,124.877308
132.805112,131.055355,146.814592,128.93907,127.012195,140.395688,122.238232
134.13876,133.239422,139.720132,132.260824,130.723186,147.624829,134.875225
142.72897,136.620022,134.853555,134.760252,125.647793,139.331105,123.272762
137.649365,124.37389,145.75197,121.860937,127.08118,139.840405,123.946308
141.235753,132.356259,138.01169,133.733046,142.292843,132.479969,125.146511
133.099217,128.041348,134.704309,132.670759,128.802929,138.067112,127.587498
142.350598,126.267437,149.639627,125.485838,132.235386,138.623082,117.740536
133.556149,123.122143,141.628915,123.268843,130.163105,131.45274,114.120251
132.025151,129.150448,136.315187,130.20027,138.515064,132.905613,126.577068
134.54881,132.582951,142.956689,133.436598,131.490024,136.943905,125.841084
140.558987,131.504597,141.168291,135.96327,135.482075,130.59869,133.943936
138.896565,131.89304,146.084222,124.647261,133.378628,133.070508,127.483059
133.464757,131.049343,149.105867,130.468,135.834301,141.178227,126.327862
135.728131,136.153523,142.999094,133.327017,132.920208,132.970944,127.394512
135.667447,127.178623,138.951151,129.686514,125.725567,135.490849,129.544224
137.546101,134.367504,136.041322,126.944769,127.913914,131.699948,121.095982
133.024281,129.8391,141.278764,128.057219,118.683033,134.500744,128.912533
128.717747,129.101803,135.870607,132.998755,127.527965,136.408665,118.786976
133.771245,138.108563,138.752016,128.644178,124.468479,131.168019,120.236675
135.57964,135.984005,137.577333,129.539908,127.162929,132.478428,120.7281
138.719342,141.135945,148.968607,129.596365,134.140392,140.277272,129.608166
129.678891,127.947613,140.474382,121.418463,123.584095,138.327839,123.669705
133.010526,131.331143,141.622087,130.921469,126.228824,137.036244,119.185879
132.915585,126.253651,134.689798,131.627813,128.283962,137.340878,127.799259
139.075551,140.318539,133.038538,132.190359,134.811176,138.188687,123.835209
128.178006,127.3363,132.036653,132.526411,128.737209,128.978268,126.074017
134.291478,128.03397,136.052805,133.334387,134.996876,134.821118,127.693058
138.720914,135.253689,138.762399,132.40267,125.241337,128.978291,134.928822
138.697598,133.926785,134.557947,135.694372,132.99757,130.510251,135.264454
127.654881,131.510388,128.840616,127.114561,128.636371,119.545125,130.328968
147.804967,132.953785,136.781778,137.172911,131.38245,125.939396,121.063145
139.307599,119.100376,132.620149,125.714323,127.695621,126.844799,120.489567
142.578084,136.142483,129.149324,125.18302,138.75774,132.642415,134.21732
125.806531,132.677067,139.122453,126.685904,127.938923,133.856205,119.792973
134.292714,134.50153,143.216173,128.560865,135.143902,131.457493,128.950283
138.375005,132.812855,138.719919,128.634657,121.402332,130.233479,116.770359
