X_07,X_08,X_09
29.45,62.38,245.71
28.73,61.23,233.61
28.81,105.77,272.2
28.92,115.21,255.36
29.68,103.38,241.46
27.9,64.97,241.85
29.3,69.22,237.51
29.77,71.41,238.27
29.76,68.75,232.23
28.97,66.88,228.22
29.06,93.28,262.89
29.71,74.08,604.27
26.29,98.6,162.44
29.19,65.61,226.13
28.14,69.78,239.63
27.28,100.07,201.5
27.67,100.07,185.69
27.22,100.4,198.52
27.82,72.04,162.41
27.71,102.17,161.53
29.48,119.47,228.33
28.54,70.35,238.76
29.54,70.54,232.43
27.19,99.6,145.0
26.92,99.64,148.7
29.27,1489.31,37.58
29.12,104.18,218.39
28.27,1086.49,37.58
29.44,107.33,223.87
28.73,106.35,328.48
27.83,104.47,195.5
29.47,72.19,240.64
28.63,102.34,221.86
26.6,98.2,180.63
27.59,67.31,156.48
28.58,103.27,161.33
27.73,102.39,217.58
29.16,115.51,226.91
28.37,108.51,200.33
29.29,107.43,223.46
27.39,105.25,186.6
28.78,102.28,193.74
28.59,108.21,221.78
28.99,110.23,197.61
29.74,61.9,252.3
29.69,1396.73,37.58
28.6,1410.63,37.58
28.7,104.45,243.23
28.28,1366.61,37.58
27.63,104.85,196.97
28.51,112.06,231.37
28.47,110.23,231.69
28.33,96.88,215.07
27.98,103.04,218.81
29.36,108.97,206.8
28.45,109.67,198.8
27.45,107.58,309.26
27.47,107.81,208.7
29.67,104.02,239.91
29.02,103.39,231.33
28.03,101.28,211.8
26.54,101.31,153.92
27.79,103.69,150.32
25.78,100.35,178.15
27.33,105.29,153.64
27.19,97.39,157.39
27.08,100.45,144.41
27.07,98.7,185.15
27.86,99.88,159.98
28.25,100.51,150.64
27.57,99.55,195.05
27.54,89.79,196.06
26.47,97.59,205.03
27.57,100.5,158.84
24.04,99.5,189.66
27.13,101.55,198.48
25.73,97.56,187.61
26.86,98.4,179.9
28.54,101.53,152.56
27.74,101.97,168.06
26.75,108.84,220.47
27.09,104.01,178.02
26.88,99.51,184.94
27.4,73.37,187.61
26.75,110.82,166.88
26.23,99.58,193.69
27.42,105.61,143.29
26.76,104.4,183.11
27.76,102.68,154.8
27.84,101.34,192.72
28.04,115.67,155.65
26.84,99.31,167.95
27.13,98.52,178.39
27.61,67.46,188.04
26.66,99.16,182.4
28.72,217.98,183.41
26.08,71.23,198.76
27.7,100.76,176.68
27.2,109.84,156.33
26.95,100.82,176.99
27.08,109.3,180.93
26.22,76.17,166.44
27.38,105.59,149.07
27.98,98.98,192.51
27.01,100.17,197.01
27.78,102.27,183.6
27.06,114.96,206.67
26.24,100.63,207.06
28.12,134.12,199.15
27.08,107.88,175.32
27.47,99.19,206.65
26.85,98.83,204.56
26.87,102.57,167.43
26.61,102.52,183.22
27.37,134.58,206.75
27.44,99.34,134.48
26.45,98.53,180.46
26.96,109.49,194.77
27.3,124.18,189.19
26.35,69.23,179.06
26.19,96.94,186.75
27.08,100.67,171.16
26.72,99.76,201.77
26.47,107.63,158.27
27.4,111.24,198.39
27.25,103.99,196.54
27.28,100.77,148.83
27.84,105.58,174.87
27.99,102.2,171.38
26.91,98.16,198.43
26.36,100.03,190.26
27.49,100.9,173.0
27.0,100.61,202.96
28.07,104.7,140.02
27.1,99.53,177.95
28.13,84.16,167.52
26.33,75.82,155.28
27.15,100.97,180.86
27.95,134.93,202.25
27.91,99.81,154.16
26.41,105.08,186.41
26.83,98.3,152.88
27.37,100.4,153.75
26.44,98.8,147.63
28.12,101.33,183.32
27.36,100.75,164.16
27.75,103.3,204.38
27.72,101.75,179.55
26.72,101.56,207.01
27.14,102.5,131.31
26.25,134.13,204.64
