X_03,X_10,X_11
67.47,0.0,0.0
65.17,0.0,0.0
64.07,0.0,0.0
67.57,0.0,0.0
63.57,0.0,0.0
62.77,0.0,0.0
66.07,0.0,0.0
65.47,0.0,0.0
66.27,0.0,0.0
68.97,0.0,0.0
68.57,0.0,0.0
67.07,0.0,0.0
71.27,0.0,0.0
68.77,0.0,0.0
66.07,0.0,0.0
68.97,0.0,0.0
66.37,0.0,0.0
68.37,0.0,0.0
72.87,0.0,0.0
71.77,0.0,0.0
67.47,0.0,0.0
66.37,0.0,0.0
66.97,0.0,0.0
65.77,0.0,0.0
65.57,0.0,0.0
66.27,0.0,0.0
68.57,0.0,0.0
64.77,0.0,0.0
66.37,0.0,0.0
70.57,0.0,0.0
66.97,0.0,0.0
66.57,0.0,0.0
64.27,0.0,0.0
66.37,0.0,0.0
64.47,0.0,0.0
67.97,3.3,0.6
64.87,0.0,0.0
66.67,0.0,0.0
69.47,0.0,0.0
68.67,0.0,0.0
70.97,0.0,0.0
68.27,0.0,0.0
67.07,0.0,0.0
66.97,0.0,0.0
64.17,0.0,0.0
64.07,0.0,0.0
67.77,0.0,0.0
63.47,0.0,0.0
64.27,0.0,0.0
67.87,0.0,0.0
67.17,0.0,0.0
66.77,0.0,0.0
64.37,0.0,0.0
66.17,0.0,0.0
65.37,0.0,0.0
64.07,0.0,0.0
65.17,0.0,0.0
67.47,0.0,0.0
62.97,0.0,0.0
61.07,0.0,0.0
63.17,0.0,0.0
68.87,0.0,0.0
68.97,0.0,0.0
68.37,0.0,0.0
70.97,0.0,0.0
68.07,0.0,0.0
68.67,0.0,0.0
64.57,0.0,0.0
64.47,0.0,0.0
67.67,0.0,0.0
68.67,0.0,0.0
67.97,0.0,0.0
70.57,0.0,0.0
70.27,0.0,0.0
71.07,0.0,0.0
69.97,0.0,0.0
69.37,0.0,0.0
68.17,0.0,0.0
70.67,0.0,0.0
67.77,0.0,0.0
69.87,0.0,0.0
69.87,0.0,0.0
68.27,0.0,0.0
68.37,0.0,0.0
66.57,0.0,0.0
65.77,0.0,0.0
68.97,0.0,0.0
67.47,0.0,0.0
67.47,0.0,0.0
70.27,0.0,0.0
68.57,0.0,0.0
69.07,0.0,0.0
66.27,0.0,0.0
66.27,0.0,0.0
74.57,0.0,0.0
68.37,0.0,0.0
65.67,0.0,0.0
66.37,0.0,0.0
68.97,0.0,0.0
69.47,0.0,0.0
68.57,0.0,0.0
71.27,0.0,0.0
69.57,0.0,0.0
66.97,0.0,0.0
67.57,0.0,0.0
64.17,0.0,0.0
64.57,0.0,0.0
70.27,0.0,0.0
67.77,0.0,0.0
66.77,0.0,0.0
65.87,0.0,0.0
67.77,0.0,0.0
66.37,0.0,0.0
68.87,0.0,0.0
68.57,0.0,0.0
67.27,0.0,0.0
67.97,0.0,0.0
69.07,0.0,0.0
67.57,0.0,0.0
67.37,0.0,0.0
68.47,0.0,0.0
69.07,0.0,0.0
66.37,0.0,0.0
68.07,0.0,0.0
67.27,0.0,0.0
67.07,0.0,0.0
67.47,0.0,0.0
69.57,0.0,0.0
67.67,0.0,0.0
71.47,0.0,0.0
72.37,0.0,0.0
71.57,0.0,0.0
68.87,0.0,0.0
68.07,0.0,0.0
66.27,0.0,0.0
68.07,0.0,0.0
68.77,0.0,0.0
65.07,0.0,0.0
65.57,0.0,0.0
63.57,0.0,0.0
65.37,0.0,0.0
62.87,0.0,0.0
63.87,0.0,0.0
63.27,0.0,0.0
59.77,0.0,0.0
69.27,0.0,0.0
70.27,0.0,0.0
67.47,0.0,0.0
64.87,0.0,0.0
63.97,0.0,0.0
63.27,0.0,0.0
61.77,0.0,0.0
62.57,0.0,0.0
68.97,0.0,0.0
63.47,0.0,0.0
64.97,0.0,0.0
66.27,0.0,0.0
63.87,0.0,0.0
63.97,0.0,0.0
64.47,0.0,0.0
65.57,0.0,0.0
63.77,0.0,0.0
61.97,0.0,0.0
62.67,0.0,0.0
66.87,0.0,0.0
63.57,0.0,0.0
63.57,0.0,0.0
63.57,0.0,0.0
65.77,0.0,0.0
65.97,2.9,0.5
65.67,0.0,0.0
66.17,0.0,0.0
65.47,0.0,0.0
65.77,0.0,0.0
66.57,0.0,0.0
65.27,0.0,0.0
67.57,0.0,0.0
65.87,0.0,0.0
65.07,0.0,0.0
66.27,0.0,0.0
64.27,0.0,0.0
64.97,0.0,0.0
64.37,0.0,0.0
67.87,0.0,0.0
63.87,0.0,0.0
67.27,0.0,0.0
65.57,0.0,0.0
65.97,0.0,0.0
67.47,0.0,0.0
63.77,0.0,0.0
64.37,0.0,0.0
64.87,0.0,0.0
64.07,0.0,0.0
64.47,0.0,0.0
65.97,0.0,0.0
66.47,0.0,0.0
64.17,0.0,0.0
65.37,0.0,0.0
64.37,0.0,0.0
64.97,0.0,0.0
67.37,0.0,0.0
63.67,0.0,0.0
64.57,0.0,0.0
64.87,0.0,0.0
67.97,0.0,0.0
66.97,0.0,0.0
65.77,0.0,0.0
65.87,0.0,0.0
66.77,0.0,0.0
66.17,0.0,0.0
64.67,0.0,0.0
64.27,0.0,0.0
70.77,0.0,0.0
69.07,0.0,0.0
63.97,0.0,0.0
69.17,0.0,0.0
65.57,0.0,0.0
69.27,0.0,0.0
64.87,0.0,0.0
67.37,0.0,0.0
68.17,0.0,0.0
70.67,0.0,0.0
71.27,0.0,0.0
64.17,0.0,0.0
68.27,0.0,0.0
65.77,0.0,0.0
65.77,0.0,0.0
63.87,0.0,0.0
63.27,0.0,0.0
65.47,0.0,0.0
65.67,0.0,0.0
65.77,0.0,0.0
64.67,0.0,0.0
67.17,0.0,0.0
67.47,0.0,0.0
65.87,0.0,0.0
67.37,0.0,0.0
70.97,0.0,0.0
70.07,0.0,0.0
68.77,0.0,0.0
70.67,0.0,0.0
69.77,0.0,0.0
66.17,0.0,0.0
67.57,0.0,0.0
63.47,0.0,0.0
64.57,0.0,0.0
66.97,0.0,0.0
70.87,0.0,0.0
65.87,0.0,0.0
64.57,0.0,0.0
67.17,0.0,0.0
63.47,0.0,0.0
64.77,0.0,0.0
64.87,0.0,0.0
64.97,0.0,0.0
65.47,0.0,0.0
68.77,0.0,0.0
65.57,0.0,0.0
68.07,0.0,0.0
67.67,0.0,0.0
64.57,0.0,0.0
65.77,0.0,0.0
66.37,0.0,0.0
