Y_06,Y_08,Y_09,Y_10,Y_12,Y_13,Y_14
16.083,-25.381,-25.529,-22.769,-25.47,-25.409,-25.304
16.736,-26.619,-26.523,-22.574,-26.253,-26.497,-26.438
17.08,-26.238,-26.216,-22.169,-26.285,-26.215,-26.37
17.143,-25.426,-25.079,-21.765,-25.254,-25.021,-25.345
17.569,-25.376,-25.242,-21.072,-25.072,-25.195,-24.974
16.201,-26.466,-26.527,-22.621,-26.489,-26.536,-26.426
15.573,-27.581,-28.038,-23.355,-27.65,-27.709,-27.599
18.23,-24.917,-24.832,-20.689,-24.539,-24.538,-24.668
16.608,-25.89,-25.801,-22.521,-25.738,-25.825,-25.764
18.12,-25.52,-25.408,-21.159,-25.353,-25.567,-25.47
16.949,-25.883,-25.927,-22.495,-25.725,-25.681,-25.768
17.09,-25.865,-26.01,-22.011,-25.886,-26.106,-25.941
18.007,-25.4,-25.405,-21.546,-25.521,-25.499,-25.363
16.336,-26.238,-26.467,-22.583,-26.298,-26.087,-26.17
14.934,-26.739,-26.341,-23.57,-26.445,-26.69,-26.788
16.294,-26.001,-25.883,-22.341,-25.974,-25.892,-26.089
17.775,-25.052,-24.886,-21.372,-24.816,-24.668,-24.773
16.264,-26.12,-26.181,-22.639,-25.991,-25.946,-26.273
17.348,-25.451,-25.214,-21.672,-25.125,-25.245,-25.494
16.903,-26.012,-26.091,-22.013,-26.065,-26.088,-25.756
16.661,-25.803,-25.897,-22.23,-25.756,-25.543,-25.484
18.03,-24.776,-24.842,-20.876,-24.868,-24.671,-24.739
17.496,-24.578,-24.684,-21.04,-24.404,-24.743,-24.643
16.992,-25.641,-25.667,-21.649,-25.635,-25.437,-25.726
17.667,-25.145,-25.421,-21.407,-25.286,-25.215,-25.497
16.773,-26.119,-26.101,-22.422,-26.084,-26.087,-26.144
17.369,-25.193,-25.175,-21.581,-25.027,-24.927,-25.068
17.968,-25.387,-25.62,-21.395,-25.358,-25.274,-25.149
16.795,-25.197,-25.136,-22.226,-25.211,-25.033,-25.296
16.96,-26.086,-25.932,-21.786,-26.155,-26.091,-26.182
17.577,-25.28,-25.324,-21.734,-25.459,-25.448,-25.389
16.698,-25.887,-25.924,-22.192,-25.94,-25.85,-25.69
18.085,-25.037,-24.943,-21.069,-24.82,-24.846,-24.895
16.876,-26.316,-26.221,-22.163,-26.303,-26.337,-26.485
17.213,-25.913,-26.061,-21.733,-26.038,-26.146,-26.094
16.016,-26.266,-26.288,-22.785,-26.277,-26.176,-26.165
18.656,-24.808,-24.775,-20.565,-24.941,-24.879,-24.545
15.811,-26.495,-26.875,-23.388,-26.689,-26.692,-27.002
16.002,-26.379,-26.431,-23.231,-26.441,-26.367,-26.417
16.84,-25.487,-25.546,-22.088,-25.524,-25.494,-25.592
17.533,-25.677,-25.327,-21.569,-25.477,-25.417,-25.487
17.109,-26.132,-26.169,-22.086,-26.161,-26.097,-26.119
17.114,-25.658,-25.689,-21.58,-25.758,-25.398,-25.611
16.985,-25.017,-25.103,-21.972,-25.193,-25.122,-24.789
16.718,-24.893,-25.022,-22.242,-25.078,-25.289,-25.081
16.328,-25.885,-25.803,-22.398,-25.682,-25.764,-25.67
17.428,-25.572,-25.444,-21.463,-25.343,-25.372,-25.311
17.019,-25.17,-24.998,-21.831,-25.199,-25.217,-25.023
17.893,-25.554,-25.817,-21.455,-25.635,-25.554,-25.711
17.433,-24.735,-25.022,-21.759,-24.912,-24.869,-24.834
17.484,-25.826,-25.857,-21.792,-25.828,-25.716,-25.871
18.026,-25.572,-25.541,-21.231,-25.576,-25.53,-25.537
17.773,-25.5,-25.294,-21.306,-25.533,-25.54,-25.455
15.175,-27.125,-27.099,-23.407,-27.484,-27.327,-26.995
16.951,-25.727,-25.78,-21.609,-25.811,-25.613,-25.874
16.341,-26.023,-26.11,-22.465,-25.715,-25.689,-26.001
17.291,-25.489,-25.535,-21.744,-25.444,-25.45,-25.229
16.806,-25.584,-26.007,-22.203,-25.627,-25.572,-25.856
18.092,-24.916,-24.485,-20.709,-24.829,-24.496,-24.761
17.063,-26.05,-26.153,-22.241,-25.903,-25.905,-26.109
16.78,-26.458,-26.408,-22.321,-26.654,-26.474,-26.273
17.414,-25.059,-24.976,-21.624,-24.848,-25.022,-25.022
17.443,-25.487,-25.396,-22.03,-25.055,-25.079,-25.57
17.599,-25.783,-25.83,-21.716,-25.817,-25.776,-26.016
15.821,-26.193,-26.406,-22.822,-26.232,-26.137,-26.183
17.407,-24.946,-24.829,-21.382,-24.722,-24.946,-24.84
17.502,-25.271,-25.267,-21.828,-25.162,-25.389,-25.275
18.236,-25.166,-24.908,-20.505,-25.07,-24.799,-24.865
17.886,-25.746,-25.782,-21.607,-25.727,-25.681,-25.773
17.247,-25.684,-25.811,-21.875,-25.602,-25.508,-25.714
16.18,-25.982,-25.969,-22.254,-25.911,-25.71,-25.584
17.289,-25.276,-25.267,-21.554,-25.305,-25.34,-25.331
15.13,-26.715,-26.776,-23.342,-26.652,-26.619,-26.629
17.62,-24.561,-24.6,-21.376,-24.559,-24.543,-24.54
16.851,-25.499,-25.703,-22.026,-25.528,-25.417,-25.503
17.639,-25.408,-25.563,-21.277,-25.578,-25.418,-25.535
17.422,-25.78,-25.969,-21.465,-25.844,-25.884,-25.721
17.501,-25.218,-25.164,-21.332,-25.17,-25.363,-25.168
17.579,-25.656,-25.812,-21.625,-25.539,-25.581,-25.63
17.779,-25.434,-25.255,-21.483,-25.143,-25.154,-25.298
17.569,-25.422,-25.469,-21.765,-25.315,-25.295,-25.276
16.744,-25.803,-25.806,-22.028,-25.685,-25.613,-26.019
17.654,-25.874,-25.736,-21.483,-25.896,-25.918,-25.934
16.162,-25.888,-26.035,-22.423,-25.777,-25.784,-26.045
17.461,-25.188,-25.328,-21.643,-25.031,-25.069,-24.78
16.86,-26.14,-25.819,-21.988,-25.878,-25.946,-25.851
14.978,-26.873,-26.778,-23.696,-26.82,-26.864,-26.718
16.951,-26.441,-26.655,-22.656,-26.417,-26.467,-26.411
17.356,-26.055,-26.19,-21.723,-26.018,-25.98,-26.177
17.672,-25.425,-25.516,-21.437,-25.435,-25.553,-25.639
16.315,-26.122,-25.962,-22.665,-26.012,-26.036,-25.895
16.031,-26.606,-26.865,-22.98,-26.576,-26.505,-26.735
16.391,-26.172,-26.195,-22.625,-26.155,-26.13,-26.278
16.83,-25.418,-25.566,-22.165,-25.46,-25.23,-25.231
17.334,-25.64,-25.705,-21.89,-25.708,-25.412,-25.559
17.394,-25.638,-25.352,-21.952,-25.198,-25.26,-25.52
17.514,-25.329,-25.791,-21.153,-25.67,-25.657,-25.724
16.619,-25.886,-26.313,-22.145,-25.853,-25.688,-25.962
18.351,-25.149,-24.961,-20.891,-25.326,-25.132,-25.18
18.049,-25.252,-25.412,-20.782,-25.242,-25.269,-25.106
16.232,-26.31,-26.023,-22.482,-26.232,-26.138,-26.267
17.848,-25.344,-25.15,-21.346,-25.263,-25.243,-25.177
17.441,-25.464,-25.254,-21.675,-25.285,-25.222,-25.164
17.272,-24.746,-24.746,-21.943,-24.727,-24.764,-24.631
17.417,-26.224,-26.027,-21.433,-26.174,-26.091,-25.992
15.548,-26.842,-27.107,-23.299,-26.74,-26.832,-26.905
17.517,-25.867,-25.8,-22.009,-25.755,-25.683,-25.577
17.795,-25.102,-25.171,-21.236,-24.948,-25.076,-25.156
17.263,-25.465,-25.827,-21.556,-25.784,-25.995,-25.757
16.53,-26.005,-25.882,-22.439,-25.907,-26.265,-26.141
17.35,-25.552,-25.538,-22.014,-25.429,-25.404,-25.397
16.639,-25.927,-25.838,-22.09,-25.798,-25.676,-25.69
17.268,-25.429,-25.33,-21.892,-25.166,-25.285,-25.314
17.36,-26.264,-26.262,-21.875,-26.375,-26.352,-26.364
17.003,-25.163,-25.092,-22.065,-25.273,-25.002,-25.088
17.079,-25.877,-25.686,-22.234,-25.921,-25.889,-25.761
16.56,-26.47,-26.458,-22.193,-26.432,-26.299,-26.521
16.86,-25.647,-25.847,-22.041,-25.528,-25.707,-25.63
15.068,-27.22,-27.123,-24.293,-27.093,-27.05,-27.204
17.358,-25.429,-25.745,-21.587,-25.545,-25.459,-25.623
16.053,-25.72,-25.691,-22.567,-25.704,-25.703,-25.55
15.719,-26.858,-27.046,-23.524,-27.04,-26.978,-26.977
17.878,-25.325,-25.39,-21.225,-25.246,-25.234,-25.1
17.352,-25.906,-25.947,-22.087,-25.973,-26.127,-25.895
17.428,-24.688,-24.436,-21.384,-24.726,-24.653,-24.707
17.511,-25.569,-25.832,-21.399,-25.477,-25.418,-25.638
17.763,-24.712,-24.913,-21.482,-24.789,-25.049,-24.757
16.994,-25.593,-25.65,-21.763,-25.314,-25.524,-25.693
16.872,-26.051,-26.042,-22.098,-26.102,-25.937,-25.935
16.579,-25.834,-25.642,-22.257,-25.54,-25.656,-25.713
16.568,-25.838,-25.992,-22.275,-25.915,-25.79,-25.994
17.634,-25.55,-25.603,-21.366,-25.568,-25.381,-25.494
16.854,-26.0,-26.112,-22.289,-25.995,-25.987,-26.113
18.1,-25.277,-25.362,-21.174,-25.339,-25.217,-25.271
16.74,-26.005,-25.878,-22.359,-25.92,-25.862,-25.911
15.937,-25.835,-25.825,-22.707,-25.685,-25.801,-25.82
16.554,-25.195,-25.332,-22.308,-25.027,-25.178,-25.275
