Y_01,Y_05,Y_07,Y_11
2.056,29.632,4.276,23.792
1.446,33.179,3.229,24.691
1.251,31.801,2.839,24.649
1.464,34.503,3.144,24.913
0.983,32.602,3.138,25.299
1.155,29.662,3.343,24.064
2.14,32.739,2.418,23.051
1.769,34.68,3.147,26.138
1.326,29.129,3.931,24.353
2.004,34.209,2.646,25.961
1.635,32.147,2.83,24.663
1.115,31.964,2.999,24.855
1.533,33.439,2.282,25.749
0.959,28.73,3.352,23.817
1.154,28.965,5.118,22.604
0.713,33.437,3.356,24.415
1.536,29.653,2.813,25.441
1.242,30.794,3.715,23.889
1.693,28.711,3.119,25.087
0.995,30.675,2.974,24.658
0.868,32.528,3.569,24.471
1.354,34.535,2.948,26.112
1.408,31.993,2.7,25.418
0.938,33.181,2.904,24.814
1.677,28.169,3.086,25.212
1.27,30.426,3.169,24.404
1.208,34.355,2.715,25.184
1.653,30.237,3.239,25.616
0.955,30.418,3.515,24.732
0.833,29.98,3.478,24.475
1.499,32.909,2.796,25.567
1.889,29.832,3.463,24.428
1.864,33.38,3.036,25.867
1.289,33.921,2.598,24.44
1.61,30.93,2.973,24.676
1.249,28.309,4.918,23.558
1.643,34.82,2.444,26.374
0.822,27.695,4.039,23.384
1.083,29.829,3.632,23.5
1.124,33.252,2.702,24.782
1.155,32.463,2.556,25.411
1.625,31.677,3.026,24.802
0.944,31.407,2.848,24.888
1.674,34.532,2.847,24.728
1.319,29.321,3.486,24.537
0.804,29.109,3.644,23.944
1.295,33.373,3.02,25.292
1.364,32.448,3.493,24.768
1.428,28.833,2.802,25.452
1.98,32.053,2.892,25.121
1.183,27.506,2.567,24.983
1.939,34.492,2.735,25.52
1.127,33.058,3.134,25.285
1.183,28.086,3.57,22.802
1.118,30.809,3.36,24.668
0.508,25.058,3.624,23.827
1.433,27.891,3.161,24.981
1.543,31.203,3.579,24.652
1.453,34.617,2.557,25.62
0.829,29.925,3.619,24.516
2.012,34.012,3.077,24.315
1.177,33.733,2.81,25.329
1.003,30.403,2.938,25.223
1.522,27.7,3.16,25.17
0.639,25.827,3.775,23.383
0.891,35.274,2.52,25.002
1.154,31.43,3.029,25.214
2.472,35.056,3.263,25.887
1.321,32.701,2.631,25.629
1.084,34.774,3.236,24.967
1.416,30.156,4.271,23.809
1.578,28.101,3.443,24.974
1.034,29.107,4.188,22.635
1.477,30.977,2.684,25.413
1.441,30.512,4.177,24.51
1.484,33.333,3.019,25.493
2.016,35.08,2.931,25.134
1.765,32.396,3.19,25.447
1.549,31.091,2.992,25.221
1.269,34.949,2.633,25.755
1.183,33.061,2.877,25.204
1.327,32.733,3.024,24.411
1.676,27.814,2.795,25.244
1.416,31.185,3.83,23.86
1.347,27.598,3.48,25.122
1.652,30.535,3.175,24.554
1.358,29.02,4.211,22.575
1.562,33.2,3.116,24.805
1.468,29.507,2.815,24.926
1.209,35.342,2.488,25.187
1.3,27.829,3.561,23.867
1.237,28.879,3.691,23.741
1.212,30.875,3.639,24.108
0.936,32.013,3.192,24.685
1.368,31.488,2.966,24.977
1.111,26.294,3.286,24.955
1.378,31.803,3.166,25.072
1.109,26.807,3.507,24.089
2.105,32.727,2.597,26.034
1.718,33.494,2.774,25.78
0.903,30.679,3.398,23.845
1.417,33.678,2.613,25.606
0.936,30.779,3.17,25.119
1.175,31.638,3.159,25.057
1.146,33.9,2.891,25.353
1.379,28.24,4.112,23.13
1.362,29.644,3.165,25.182
1.807,33.421,3.119,25.559
1.547,32.876,2.903,25.212
1.722,30.047,3.584,24.312
1.455,28.572,3.124,25.039
1.266,27.578,3.385,24.25
1.307,34.27,2.459,25.103
1.496,31.061,2.661,24.892
0.955,30.179,3.248,24.8
1.346,32.186,3.141,24.615
1.182,28.246,3.812,24.104
1.178,33.884,2.799,24.804
0.491,28.62,3.788,22.671
0.941,32.599,2.995,25.1
1.017,29.499,4.491,23.656
1.378,30.083,3.617,23.352
1.405,34.006,3.081,25.663
1.477,29.103,3.232,24.878
1.35,32.057,2.599,25.234
1.414,35.802,2.997,25.105
1.581,34.628,2.777,25.657
1.416,31.886,3.474,24.796
1.28,31.956,2.782,24.65
1.166,28.808,3.469,24.258
1.461,29.682,3.995,24.255
1.347,28.174,3.181,25.303
1.704,28.905,2.971,24.418
1.279,32.296,2.589,25.658
1.103,24.771,3.43,24.218
1.799,31.156,4.261,23.657
1.804,30.344,3.647,24.382
2.033,33.784,2.896,25.172
1.835,33.527,3.477,24.753
1.002,31.852,2.877,25.745
1.074,27.648,4.727,21.374
1.48,27.473,3.975,23.298
0.645,32.404,2.798,25.447
1.664,32.685,2.54,25.885
1.004,33.126,2.912,25.892
2.059,33.047,3.043,25.204
1.104,28.514,3.463,24.236
1.692,34.191,2.321,25.871
1.736,28.299,3.891,23.395
1.783,34.809,2.626,25.673
1.324,34.848,2.88,25.862
1.818,32.285,3.35,25.424
1.916,32.217,2.4,23.237
1.653,31.063,3.072,25.789
1.705,34.229,2.881,25.334
1.605,35.485,2.632,26.084
1.241,34.206,2.961,25.121
1.536,24.923,3.496,23.643
0.899,30.805,3.858,23.477
1.611,32.68,2.708,25.298
1.003,31.14,3.246,24.179
1.505,30.841,3.417,24.471
1.222,30.249,3.495,25.17
1.625,34.05,3.258,24.701
1.299,35.281,2.674,25.869
1.387,30.655,3.051,25.464
1.2,34.981,2.751,25.842
1.392,31.644,3.199,24.928
1.089,34.843,3.177,25.126
1.713,33.73,2.351,25.604
1.518,30.354,3.077,24.329
0.843,32.617,2.892,24.707
1.143,35.597,2.509,25.564
1.928,29.446,3.509,23.739
1.905,32.737,2.632,24.262
1.002,31.943,3.338,24.875
1.079,31.777,3.307,24.052
0.772,34.119,2.513,24.364
1.212,32.915,3.237,24.678
1.37,30.658,3.395,23.137
0.498,24.606,3.837,22.206
1.215,29.969,3.992,23.44
1.719,30.581,3.049,23.516
2.211,32.201,2.554,23.568
1.555,31.758,2.83,24.709
0.824,31.681,2.698,23.03
2.021,34.139,2.405,25.593
2.06,33.02,3.117,23.297
1.891,32.556,2.464,24.511
1.92,34.839,2.87,25.556
1.521,32.713,2.876,24.385
0.963,29.291,3.23,22.844
1.324,32.442,2.648,25.446
0.611,31.064,2.839,24.051
1.727,29.6,3.436,23.742
1.045,30.724,2.596,23.847
1.683,24.225,2.861,23.308
